no._of_cases,tempmax,tempmin,temp,humidity,precip,precipcover,Number of searches,Total Population 
458,32.34285714285714,25.657142857142855,28.47142857142857,77.8,9.089285714285714,4.167142857142857,23,5535002.0
549,30.0,24.942857142857143,27.228571428571428,84.82857142857142,18.99742857142857,19.047142857142855,42,5607283.0
628,32.7,26.2,28.914285714285715,77.77142857142857,0.4228571428571429,2.3814285714285717,42,5607283.0
635,32.77142857142857,26.52857142857143,28.728571428571428,79.72857142857143,7.136,7.142857142857143,42,5607283.0
629,32.285714285714285,26.685714285714283,28.8,78.39999999999999,0.8257142857142857,5.357142857142857,42,5607283.0
528,32.58571428571428,26.442857142857143,28.8,77.7,1.124142857142857,5.3585714285714285,42,5607283.0
420,31.585714285714285,26.099999999999998,28.47142857142857,78.94285714285715,7.386714285714285,8.928571428571429,43,5607283.0
592,30.957142857142856,25.8,27.928571428571427,80.02857142857144,1.211857142857143,4.1657142857142855,43,5607283.0
508,30.914285714285715,25.47142857142857,27.771428571428572,79.45714285714287,10.114714285714285,11.308571428571428,43,5607283.0
412,31.728571428571428,25.599999999999998,28.2,76.39999999999999,9.046714285714286,2.3814285714285717,43,5607283.0
396,32.34285714285714,26.62857142857143,28.885714285714283,75.91428571428571,0.08628571428571429,3.5700000000000003,29,5607283.0
373,33.3,26.585714285714285,29.157142857142855,77.75714285714285,1.0225714285714285,3.5714285714285716,29,5607283.0
306,33.385714285714286,26.37142857142857,29.25714285714286,74.02857142857144,0.6734285714285715,1.7871428571428571,29,5607283.0
376,33.57142857142857,26.985714285714288,29.414285714285715,75.12857142857142,0.8168571428571428,4.762857142857143,29,5607283.0
290,33.65714285714286,26.714285714285715,29.62857142857143,71.81428571428572,0.9677142857142857,1.7857142857142858,22,5607283.0
225,34.3,26.771428571428572,29.614285714285717,75.47142857142856,1.7344285714285712,2.9757142857142855,22,5607283.0
231,34.128571428571426,27.428571428571427,30.114285714285717,75.34285714285714,3.371,4.762857142857143,22,5607283.0
244,34.042857142857144,27.785714285714285,30.2,74.11428571428571,2.1119999999999997,4.168571428571428,22,5607283.0
181,33.18571428571428,26.642857142857142,29.142857142857142,79.31428571428572,5.1654285714285715,7.738571428571428,21,5607283.0
217,34.385714285714286,27.728571428571428,30.228571428571428,74.95714285714287,0.7447142857142858,2.9785714285714286,21,5607283.0
212,33.25714285714286,26.900000000000002,29.37142857142857,79.57142857142857,3.543142857142857,6.548571428571429,21,5607283.0
198,32.92857142857143,26.185714285714287,29.114285714285717,80.91428571428571,16.799,7.738571428571428,21,5607283.0
219,33.042857142857144,26.957142857142856,29.87142857142857,75.77142857142857,4.238714285714286,2.9757142857142855,21,5607283.0
159,31.900000000000002,25.957142857142856,28.47142857142857,79.7,2.5267142857142857,8.332857142857144,21,5607283.0
192,32.24285714285714,26.857142857142858,29.02857142857143,78.87142857142858,3.1237142857142857,6.547142857142857,21,5607283.0
215,31.085714285714285,25.97142857142857,28.228571428571428,79.92857142857143,8.303714285714285,9.524285714285714,21,5607283.0
234,31.857142857142858,26.071428571428573,28.685714285714287,77.24285714285715,9.010571428571428,7.142857142857143,21,5607283.0
246,33.44285714285714,27.8,30.342857142857145,71.97142857142858,0.26357142857142857,0.5957142857142858,22,5607283.0
223,33.142857142857146,27.24285714285714,29.985714285714288,72.3,1.1735714285714285,2.9771428571428573,22,5607283.0
266,31.385714285714283,25.74285714285714,28.37142857142857,79.87142857142858,1.185142857142857,10.118571428571428,22,5607283.0
221,30.914285714285715,24.657142857142855,27.457142857142856,82.82857142857142,19.647714285714283,14.878571428571428,22,5607283.0
211,31.400000000000002,25.657142857142855,28.271428571428572,78.25714285714285,1.0031428571428571,7.142857142857143,22,5607283.0
